subid,dot,gender,age,notes,order,experiment,keep,reason_excluded
speed_acc_adult_ng_1,7/5/17,F,18-21,"session went well, but english not native language",speed_acc_adult_ng_order1,,no,english not native language
speed_acc_adult_ng_2,7/12/17,F,18-21,session went really well!,speed_acc_adult_ng_order4,,yes,
speed_acc_adult_ng_3,7/13/17,M,31-35,session went really well!,speed_acc_adult_ng_order1,,yes,
speed_acc_adult_ng_4,7/14/17,F,22-25,"session went well. for some reason, I am unable to see participant's eye movements on experiment center, but RED tracking monitor picks up eyes",speed_acc_adult_ng_order2,,yes,
speed_acc_adult_ng_5,7/18/17,M,Under 18,session went well,speed_acc_adult_ng_order2,,yes,
speed_acc_adult_ng_6,7/20/17,F,under 18,session went well,speed_acc_adult_ng_order2,,yes,
speed_acc_adult_ng_7,7/24/17,F,under 18,session went well,speed_acc_adult_ng_order2,,yes,
speed_acc_adult_ng_8,7/31/17,F,under 18,"for some reason the display resolution was changed so the experiment would not run properly. order 3 would not calibrate for some reason as well, but order 2 worked",speed_acc_adult_ng_order2,,yes,
<<<<<<< HEAD
speed_acc_adult_ng_9,,,,,speed_acc_adult_ng_order3,,,
speed_acc_adult_ng_10,8/1/17,F,under 18,session went well,speed_acc_adult_ng_order3,,yes,
=======
speed_acc_adult_ng_9,8/1/17,F,under 18,session went well,speed_acc_adult_ng_order3,,yes,
speed_acc_adult_ng_10,8/2/17,M,under 18,session went well! but he noticed the hair flipping in the direction of the target object,speed_acc_adult_ng_order3,,yes,
>>>>>>> 15b49b85160584ab0aa4e86f6ffb349e95f340c7
speed_acc_adult_ng_11,,,,,speed_acc_adult_ng_order1,,,
speed_acc_adult_ng_12,,,,,speed_acc_adult_ng_order4,,,
speed_acc_adult_ng_13,,,,,speed_acc_adult_ng_order1,,,
speed_acc_adult_ng_14,,,,,speed_acc_adult_ng_order4,,,
speed_acc_adult_ng_15,,,,,speed_acc_adult_ng_order1,,,
speed_acc_adult_ng_16,,,,,speed_acc_adult_ng_order1,,,
speed_acc_adult_ng_17,,,,,speed_acc_adult_ng_order2,,,
speed_acc_adult_ng_18,,,,,speed_acc_adult_ng_order2,,,
speed_acc_adult_ng_19,,,,,speed_acc_adult_ng_order2,,,
speed_acc_adult_ng_20,,,,,speed_acc_adult_ng_order3,,,
speed_acc_adult_ng_21,,,,,speed_acc_adult_ng_order4,,,
speed_acc_adult_ng_22,,,,,speed_acc_adult_ng_order1,,,
speed_acc_adult_ng_23,,,,,speed_acc_adult_ng_order4,,,
speed_acc_adult_ng_24,,,,,speed_acc_adult_ng_order4,,,
speed_acc_adult_ng_25,,,,,speed_acc_adult_ng_order3,,,
speed_acc_adult_ng_26,,,,,speed_acc_adult_ng_order4,,,
speed_acc_adult_ng_27,,,,,speed_acc_adult_ng_order3,,,
speed_acc_adult_ng_28,,,,,speed_acc_adult_ng_order3,,,
speed_acc_adult_ng_29,,,,,speed_acc_adult_ng_order1,,,
speed_acc_adult_ng_30,,,,,speed_acc_adult_ng_order1,,,
speed_acc_adult_ng_31,,,,,speed_acc_adult_ng_order3,,,
speed_acc_adult_ng_32,,,,,speed_acc_adult_ng_order3,,,
,,,,,speed_acc_adult_ng_order4,,,
