Sub.Num,Tr.Num,stimuli,age_code,correct,Months,RT,condition,rt,guess,guess_num,ucl_bound,ewma_param,param_value
<<<<<<< HEAD
30015,13,ASL,child,1,21,0.033,ASL,0.03,guess,0,0.010000000000000009,cs,0.5
30028,17,ASL,child,0,27,0.067,ASL,0.07,guess,0,0.010000000000000009,cs,0.5
30017,14,ASL,child,0,35,0.1,ASL,0.1,guess,0,0.030000000000000027,cs,0.49
30025,16,ASL,child,0,26,0.1,ASL,0.1,guess,0,0.030000000000000027,cs,0.49
30051,31,ASL,child,0,25,0.1,ASL,0.1,guess,0,0.030000000000000027,cs,0.49
30050,30,ASL,child,1,18,0.133,ASL,0.13,guess,0,0.030000000000000027,cs,0.49
30028,2,ASL,child,1,27,0.167,ASL,0.17,guess,0,0.030000000000000027,cs,0.5
30025,4,ASL,child,0,26,0.167,ASL,0.17,guess,0,0.040000000000000036,cs,0.49
30051,6,ASL,child,0,25,0.233,ASL,0.23,guess,0,0.040000000000000036,cs,0.49
30088,9,ASL,child,0,22,0.267,ASL,0.27,guess,0,0.050000000000000044,cs,0.48
30066,2,ASL,child,1,35,0.3,ASL,0.3,guess,0,0.040000000000000036,cs,0.49
30066,5,ASL,child,0,35,0.3,ASL,0.3,guess,0,0.050000000000000044,cs,0.48
30015,33,ASL,child,1,21,0.333,ASL,0.33,guess,0,0.040000000000000036,cs,0.49
30028,21,ASL,child,0,27,0.333,ASL,0.33,guess,0,0.06000000000000005,cs,0.48
30046,18,ASL,child,1,22,0.333,ASL,0.33,guess,0,0.050000000000000044,cs,0.49
30036,13,ASL,child,1,42,0.333,ASL,0.33,guess,0,0.050000000000000044,cs,0.49
30050,3,ASL,child,1,18,0.333,ASL,0.33,guess,0,0.040000000000000036,cs,0.5
30090,4,ASL,child,0,33,0.333,ASL,0.33,guess,0,0.050000000000000044,cs,0.49
30051,29,ASL,child,0,25,0.367,ASL,0.37,guess,0,0.050000000000000044,cs,0.49
30028,24,ASL,child,0,27,0.4,ASL,0.4,guess,0,0.06000000000000005,cs,0.48
30038,2,ASL,child,0,16,0.4,ASL,0.4,guess,0,0.06000000000000005,cs,0.48
30036,16,ASL,child,0,42,0.4,ASL,0.4,guess,0,0.07000000000000006,cs,0.47
30025,14,ASL,child,1,26,0.4,ASL,0.4,guess,0,0.06000000000000005,cs,0.48
30047,9,ASL,child,0,35,0.4,ASL,0.4,guess,0,0.07000000000000006,cs,0.47
30026,26,ASL,child,0,36,0.433,ASL,0.43,guess,0,0.07000000000000006,cs,0.47
30050,4,ASL,child,0,18,0.467,ASL,0.47,guess,0,0.09000000000000002,cs,0.46
30050,5,ASL,child,1,18,0.467,ASL,0.47,guess,0,0.08000000000000007,cs,0.47
30085,15,ASL,child,0,19,0.5,ASL,0.5,guess,0,0.09000000000000002,cs,0.46
30014,15,ASL,child,0,33,0.533,ASL,0.53,guess,0,0.09000000000000002,cs,0.46
30024,8,ASL,child,1,21,0.533,ASL,0.53,guess,0,0.09000000000000002,cs,0.46
30024,32,ASL,child,0,21,0.533,ASL,0.53,guess,0,0.09000000000000002,cs,0.46
30024,34,ASL,child,0,21,0.533,ASL,0.53,guess,0,0.09000000000000002,cs,0.46
30018,26,ASL,child,0,18,0.567,ASL,0.57,guess,0,0.10000000000000003,cs,0.45
30019,13,ASL,child,1,29,0.567,ASL,0.57,guess,0,0.09000000000000002,cs,0.46
30024,23,ASL,child,0,21,0.567,ASL,0.57,guess,0,0.10000000000000003,cs,0.45
30036,2,ASL,child,1,42,0.567,ASL,0.57,guess,0,0.09000000000000002,cs,0.46
